Ecode;TotalECodes;e0;e1;e2;e3;e4
E922.2;15;15;;;;
E922.3;5;5;;;;
E922.4;634;627;7;;;
E922.5;19;19;;;;
E922.8;74;74;;;;
E922.9;488;485;2;1;;
E923.0;47;47;;;;
E923.1;4;4;;;;
E923.2;71;69;1;1;;
E923.8;44;38;6;;;
E923.9;42;41;1;;;
E924.0;5294;5235;43;13;3;
E924.1;1494;1454;27;8;3;2
E924.2;1239;1229;6;3;1;
E924.8;4490;4383;80;18;6;3
E924.9;433;422;10;;;1
E925.0;208;201;6;1;;
E925.1;22;22;;;;
E925.2;48;47;;1;;
E925.8;181;175;4;1;1;
E925.9;225;220;4;1;;
E926.1;23;23;;;;
E926.2;1193;1138;37;7;9;2
E926.3;2;2;;;;
E926.4;1;1;;;;
E926.8;4;4;;;;
E927.0;80281;78963;1152;127;28;11
E927.1;464;458;6;;;
E927.2;1056;1045;8;3;;
E927.3;4899;4867;22;7;2;1
E927.4;109;106;2;1;;
E927.8;9692;9529;140;20;3;
E927.9;2281;2252;22;4;2;1
E928.0;23;21;2;;;
E928.1;14;12;1;1;;
E928.2;3;3;;;;
E928.3;1390;1294;81;11;4;
E928.4;89;89;;;;
E928.5;424;399;24;1;;
E928.6;36;36;;;;
E928.7;122;120;2;;;
E928.8;35531;35149;269;83;22;8
E928.9;74637;74001;392;181;44;19
E929.0;1324;1238;24;42;15;5
E929.1;102;96;1;3;1;1
E929.2;16;15;1;;;
E929.3;1437;1404;16;8;4;5
E929.4;14;14;;;;
E929.5;34;32;2;;;
E929.8;1407;1369;19;12;4;3
E929.9;994;922;34;26;4;8
E930.0;1963;1926;29;6;2;
E930.1;39;36;3;;;
E930.2;1;1;;;;
E930.3;482;449;27;6;;
E930.4;263;240;19;4;;
E930.5;688;634;48;5;;1
E930.6;38;33;5;;;
E930.7;7;7;;;;
E930.8;1176;1121;42;9;2;2
E930.9;473;461;10;1;1;
E931.0;1226;1164;57;3;1;1
E931.2;1;;;1;;
E931.3;5;5;;;;
E931.4;14;14;;;;
E931.5;210;173;34;2;1;
E931.6;2;2;;;;
E931.7;152;143;9;;;
E931.8;20;19;1;;;
E931.9;420;393;23;4;;
E932.0;883;814;45;20;1;3
E932.1;6;6;;;;
E932.2;112;111;1;;;
E932.3;1945;1907;24;11;2;1
E932.4;12;12;;;;
E932.5;5;4;;1;;
E932.6;3;3;;;;
E932.7;41;39;2;;;
E932.8;35;33;1;;;1
E932.9;11;11;;;;
E933.0;478;431;37;7;3;
E933.1;943;898;27;8;4;6
E933.3;1;1;;;;
E933.4;5;5;;;;
E933.5;68;61;6;1;;
E933.7;1;1;;;;
E933.8;6;6;;;;
E933.9;1;1;;;;
E934.0;54;47;4;2;1;
E934.1;17;13;4;;;
E934.2;1616;1391;82;93;31;19
E934.3;3;3;;;;
E934.4;9;9;;;;
E934.5;10;9;1;;;
E934.6;24;23;1;;;
E934.7;5;5;;;;
E934.8;97;79;15;3;;
E934.9;2;1;1;;;
E935.0;12;12;;;;
E935.1;85;75;5;5;;
E935.2;2466;2196;179;57;22;12
E935.3;178;152;19;4;3;
E935.4;755;662;68;19;5;1
E935.5;5;5;;;;
E935.6;761;690;51;11;5;4
E935.7;115;104;7;3;;1
E935.8;225;208;12;4;1;
E935.9;195;179;9;5;;2
E936.0;2;2;;;;
E936.1;340;318;11;8;1;2
E936.2;1;1;;;;
E936.3;499;453;31;10;5;
E936.4;41;38;2;1;;
E937.0;37;29;6;2;;
E937.1;1;1;;;;
E937.3;1;;1;;;
E937.8;376;319;39;16;2;
E937.9;285;254;23;5;2;1
E938.0;137;110;22;5;;
E938.2;9;9;;;;
E938.3;37;27;5;5;;
E938.4;60;55;2;3;;
E938.5;95;83;8;1;2;1
E938.6;18;18;;;;
E938.7;21;21;;;;
E938.9;38;35;3;;;
E939.0;804;735;49;10;7;3
E939.1;144;135;8;1;;
E939.2;190;183;4;3;;
E939.3;586;535;36;10;3;2
E939.4;618;493;91;24;8;2
E939.5;34;24;7;3;;
E939.6;175;169;6;;;
E939.7;287;270;14;3;;
E939.8;69;63;6;;;
E939.9;17;16;;1;;
E940.0;1;;1;;;
E940.1;45;44;;1;;
E940.8;28;26;1;1;;
E940.9;16;16;;;;
E941.0;40;36;2;2;;
E941.1;84;71;8;5;;
E941.2;241;215;18;6;;2
E941.3;389;339;34;14;2;
E941.9;12;11;1;;;
E942.0;76;66;4;4;1;1
E942.1;119;106;7;6;;
E942.2;382;369;11;1;1;
E942.4;225;207;12;3;2;1
E942.5;57;53;2;1;;1
E942.6;689;634;35;14;2;4
E942.7;2;2;;;;
E942.8;1;1;;;;
E942.9;761;698;44;16;1;2
E943.0;90;83;7;;;
E943.1;9;7;1;1;;
E943.2;9;9;;;;
E943.3;53;52;;1;;
E943.4;1;1;;;;
E943.5;35;34;1;;;
E943.6;1;1;;;;
E943.8;52;46;3;2;1;
E943.9;1;1;;;;
E944.1;1;1;;;;
E944.2;8;6;2;;;
E944.3;294;249;28;13;2;2
E944.4;329;280;29;10;9;1
E944.5;37;30;5;2;;
E944.6;1;1;;;;
E944.7;31;26;4;;1;
E945.0;7;6;;1;;
